date,Ozone
9/29/2017,0
9/22/2017,0.122
9/15/2017,0.0976
9/8/2017,0.1159
9/1/2017,0.0976
8/25/2017,0.1159
8/18/2017,0.122
8/11/2017,0.122
8/4/2017,0.122
7/28/2017,0.1342
7/21/2017,0.1464
7/14/2017,0.1037
7/7/2017,0.1403
6/30/2017,0.1403
6/23/2017,0.1098
6/16/2017,0.0915
6/9/2017,0.1403
6/2/2017,0.1098
5/26/2017,0.122
5/19/2017,0.1281
5/12/2017,0.0915
5/5/2017,0.122
4/28/2017,0.1342
4/21/2017,0.1037
4/14/2017,0.1403
4/7/2017,0.0915
3/31/2017,0.1464
3/24/2017,0.1342
3/17/2017,0.1403
3/10/2017,0.1098
3/3/2017,0.1281
2/24/2017,0.1342
2/17/2017,0.1342
2/10/2017,0.1525
2/3/2017,0.1281
1/27/2017,0.1281
1/20/2017,0.1342
1/13/2017,0.1281
1/6/2017,0.1159
12/30/2016,0.0793
12/23/2016,0.1342
12/16/2016,0.122
12/9/2016,0.0854
12/2/2016,0.1342
11/25/2016,0.1098
11/18/2016,0.1464
11/11/2016,0.1281
11/4/2016,0.0976
10/28/2016,0.1647
10/21/2016,0.1281
10/14/2016,0.1342
10/7/2016,0.1342
9/30/2016,0.1281
9/23/2016,0.1525
9/16/2016,0.1159
9/9/2016,0
9/2/2016,0.1098
8/26/2016,0.1281
8/19/2016,0.122
8/12/2016,0.1342
8/5/2016,0.1098
7/29/2016,0.1647
7/22/2016,0.122
7/15/2016,0.1037
7/8/2016,0.1098
7/1/2016,0.1098
6/24/2016,0.122
6/17/2016,0.1159
6/10/2016,0.1098
6/3/2016,0.0732
5/27/2016,0.1281
5/20/2016,0.1159
5/13/2016,0.1403
5/6/2016,0.122
4/29/2016,0.1098
4/22/2016,0.1342
4/15/2016,0.1342
4/8/2016,0.122
4/1/2016,0.1464
3/25/2016,0.122
3/18/2016,0.1281
3/11/2016,0.1159
3/4/2016,0.1037
2/26/2016,0.1342
2/19/2016,0.1403
2/12/2016,0.1098
2/5/2016,0.122
1/29/2016,0.1403
1/22/2016,0.0732
1/15/2016,0.1708
1/8/2016,0.1342
1/1/2016,0.1403
12/25/2015,0.1098
12/18/2015,0.1159
12/11/2015,0.0732
12/4/2015,0.1281
11/27/2015,0.1159
11/20/2015,0.122
11/13/2015,0.0793
11/6/2015,0.1403
10/30/2015,0.1098
10/23/2015,0.0976
10/16/2015,0.1647
10/9/2015,0.1159
10/2/2015,0.1281
9/25/2015,0.1525
9/18/2015,0.1159
9/11/2015,0.1281
9/4/2015,0.1342
8/28/2015,0.0976
8/21/2015,0
8/14/2015,0.122
8/7/2015,0.1403
7/31/2015,0.1159
7/24/2015,0.1342
7/17/2015,0.1037
7/10/2015,0.1098
7/3/2015,0.1281
6/26/2015,0.1098
6/19/2015,0.1159
6/12/2015,0.1159
6/5/2015,0.1525
5/29/2015,0.1342
5/22/2015,0.1403
5/15/2015,0.1342
5/8/2015,0.1159
5/1/2015,0.0976
4/24/2015,0.1342
4/17/2015,0.1037
4/10/2015,0.1342
4/3/2015,0.1098
3/27/2015,0.0976
3/20/2015,0.0671
3/13/2015,0.1281
3/6/2015,0.122
2/27/2015,0.122
2/20/2015,0.0854
2/13/2015,0.122
2/6/2015,0.1403
1/30/2015,0.0793
1/23/2015,0.1647
1/16/2015,0.122
1/9/2015,0.1098
1/2/2015,0.0793
12/26/2014,0.1159
12/19/2014,0.0976
12/12/2014,0.0976
12/5/2014,0.1281
11/28/2014,0.1403
11/21/2014,0.122
11/14/2014,0.1281
11/7/2014,0.0976
10/31/2014,0.1098
10/24/2014,0.1403
10/17/2014,0.1098
10/10/2014,0.122
10/3/2014,0.1037
9/26/2014,0.1098
9/19/2014,0.122
9/12/2014,0.1464
9/5/2014,0.122
8/29/2014,0.1281
8/22/2014,0.122
8/15/2014,0.1464
8/8/2014,0.1525
8/1/2014,0
7/25/2014,0.1403
7/18/2014,0.1281
7/11/2014,0.122
7/4/2014,0.1037
6/27/2014,0.1098
6/20/2014,0.1159
6/13/2014,0.1281
6/6/2014,0.122
5/30/2014,0.1098
5/23/2014,0.122
5/16/2014,0.1281
5/9/2014,0.0976
5/2/2014,0.122
4/25/2014,0.1464
4/18/2014,0.1525
4/11/2014,0.1647
4/4/2014,0.0854
3/28/2014,0.1464
3/21/2014,0.1281
3/14/2014,0.1098
3/7/2014,0.1037
2/28/2014,0.1403
2/21/2014,0.1159
2/14/2014,0.1464
2/7/2014,0.1342
1/31/2014,0.1525
1/24/2014,0.1525
1/17/2014,0.1342
1/10/2014,0.1403
1/3/2014,0.1098
12/27/2013,0.1281
12/20/2013,0.1342
12/13/2013,0.1098
12/6/2013,0.1464
11/29/2013,0.1281
11/22/2013,0.1159
11/15/2013,0.1098
11/8/2013,0.122
11/1/2013,0.1159
10/25/2013,0.1037
10/18/2013,0.1342
10/11/2013,0.1281
10/4/2013,0.1403
9/27/2013,0.122
9/20/2013,0.1403
9/13/2013,0.1098
9/6/2013,0.122
8/30/2013,0.1281
8/23/2013,0.1464
8/16/2013,0.1159
8/9/2013,0.1159
8/2/2013,0.183
7/26/2013,0.1342
7/19/2013,0.1342
7/12/2013,0
7/5/2013,0.0915
6/28/2013,0.1281
6/21/2013,0.122
6/14/2013,0.1281
6/7/2013,0.0976
5/31/2013,0.1098
5/24/2013,0.1098
5/17/2013,0.0915
5/10/2013,0.1159
5/3/2013,0.1342
4/26/2013,0.1342
4/19/2013,0.1159
4/12/2013,0.1525
4/5/2013,0.122
3/29/2013,0.1159
3/22/2013,0.122
3/15/2013,0.1525
3/8/2013,0.1037
3/1/2013,0.122
2/22/2013,0.1098
2/15/2013,0.1037
2/8/2013,0.1342
2/1/2013,0.0915
1/25/2013,0.1098
1/18/2013,0.1403
1/11/2013,0.1037
1/4/2013,0.1281
12/28/2012,0.1525
12/21/2012,0.1403
12/14/2012,0.1037
12/7/2012,0.1098
11/30/2012,0.1342
11/23/2012,0.1281
11/16/2012,0.1281
11/9/2012,0.1342
11/2/2012,0.1403
10/26/2012,0.122
10/19/2012,0.122
10/12/2012,0.0915
10/5/2012,0.1098
9/28/2012,0.1403
9/21/2012,0.1281
9/14/2012,0.1281
9/7/2012,0.1281
8/31/2012,0.1403
8/24/2012,0.1342
8/17/2012,0.1159
8/10/2012,0.1403
8/3/2012,0.1342
7/27/2012,0.1464
7/20/2012,0.1281
7/13/2012,0.1037
7/6/2012,0.1159
6/29/2012,0.1037
6/22/2012,0.12
6/15/2012,0.1342
6/8/2012,0.0915
6/1/2012,0.1281
5/25/2012,0.1037
5/18/2012,0.1037
5/11/2012,0.1525
5/4/2012,0.1342
4/27/2012,0.0976
4/20/2012,0.1281
4/13/2012,0.1159
4/6/2012,0.1159
3/30/2012,0.1159
3/23/2012,0.1159
3/16/2012,0.1037
3/9/2012,0.1098
3/2/2012,0.1098
2/24/2012,0.1098
2/17/2012,0.122
2/10/2012,0.1525
2/3/2012,0.1464
1/27/2012,0.0976
1/20/2012,0.1098
1/13/2012,0.1342
1/6/2012,0.1098
12/30/2011,0.0854
12/23/2011,0.1586
12/16/2011,0.1159
12/9/2011,0.1464
12/2/2011,0.1281
11/25/2011,0.1098
11/18/2011,0.1098
11/11/2011,0.1647
11/4/2011,0.1037
